Page,Section,Current Image Path,Suggested SEO Filename,Dimensions (Width x Height),Aspect Ratio,Alt Text (English),Alt Text (Spanish),Priority,File Format,Notes
About Page,Main Portrait,/images/david-josue-05.jpg,david-josue-photographer-portrait-valle-guadalupe.jpg,600x800,3:4,"David Josué - International wedding photographer based in Valle de Guadalupe","David Josué - Fotógrafo internacional de bodas con base en Valle de Guadalupe",High,WebP + JPG,"Main photographer portrait"
Boudoir Page,Hero Background,/images/david-josue-boudoir-photography-service.jpg,david-josue-boudoir-photography-empowerment-hero.jpg,1920x1080,16:9,"Empowering boudoir photography experience","Experiencia de fotografía boudoir empoderadora",High,WebP + JPG,"Hero with 70% dark overlay"
Boudoir Page,Photographer Portrait 1,/images/davidjosue_selfie_guayabera_01.jpeg,david-josue-boudoir-photographer-portrait-mexico.jpg,600x800,3:4,"David Josué - Boudoir photographer creating safe spaces","David Josué - Fotógrafo boudoir creando espacios seguros",Medium,WebP + JPG,"About section portrait"
Boudoir Page,Photographer Portrait 2,/images/davidjosue_selfie_guayabera_02.jpeg,david-josue-boudoir-session-atmosphere.jpg,600x900,2:3,"Boudoir photography session atmosphere","Atmósfera de sesión de fotografía boudoir",Medium,WebP + JPG,"Gallery section image"
Portraits Page,Hero Background,MISSING: /david-josue-portrait-photography-artistic-hero.jpg,david-josue-portrait-photography-artistic-hero.jpg,1920x1080,16:9,"Artistic portrait photography by David Josué","Fotografía de retrato artístico por David Josué",High,WebP + JPG,"Hero with 40% dark overlay"
Portraits Page,Individual Portrait Example,MISSING: /david-josue-individual-portrait-studio-professional.jpg,david-josue-professional-headshot-portrait-studio.jpg,400x400,1:1,"Professional individual portrait in studio","Retrato individual profesional en estudio",Medium,WebP + JPG,"Service type example"
Portraits Page,Family Portrait Example,MISSING: /david-josue-family-portrait-outdoor-natural-light.jpg,david-josue-family-portrait-outdoor-natural-light.jpg,400x400,1:1,"Family portrait session in natural outdoor light","Sesión de retrato familiar en luz natural exterior",Medium,WebP + JPG,"Service type example"
Portraits Page,Environmental Portrait Example,MISSING: /david-josue-environmental-portrait-location-authentic.jpg,david-josue-environmental-portrait-workplace-artist.jpg,400x400,1:1,"Environmental portrait in meaningful location","Retrato ambiental en locación significativa",Medium,WebP + JPG,"Service type example"
Portraits Page,Artistic Portrait Example,MISSING: /david-josue-emotional-portrait-photography-artistic.jpg,david-josue-artistic-emotional-portrait-conceptual.jpg,400x400,1:1,"Conceptual artistic portrait with emotional depth","Retrato artístico conceptual con profundidad emocional",Medium,WebP + JPG,"Service type example"
Portraits Page,Gallery Image 1,Use Individual Portrait Example,david-josue-portrait-gallery-01.jpg,600x600,1:1,"Portrait gallery showcase 1","Galería de retratos muestra 1",Low,WebP + JPG,"Gallery grid image"
Portraits Page,Gallery Image 2,Use Family Portrait Example,david-josue-portrait-gallery-02.jpg,600x600,1:1,"Portrait gallery showcase 2","Galería de retratos muestra 2",Low,WebP + JPG,"Gallery grid image"
Portraits Page,Gallery Image 3,Use Artistic Portrait Example,david-josue-portrait-gallery-03.jpg,600x600,1:1,"Portrait gallery showcase 3","Galería de retratos muestra 3",Low,WebP + JPG,"Gallery grid image"
Portraits Page,Gallery Image 4,Use Environmental Portrait Example,david-josue-portrait-gallery-04.jpg,600x600,1:1,"Portrait gallery showcase 4","Galería de retratos muestra 4",Low,WebP + JPG,"Gallery grid image"
Portraits Page,Gallery Image 5,/images/david-josue-portrait-photography-service.jpg,david-josue-portrait-gallery-05.jpg,600x600,1:1,"Portrait gallery showcase 5","Galería de retratos muestra 5",Low,WebP + JPG,"Gallery grid image"
Portraits Page,Gallery Image 6,MISSING: /david-josue-portrait-photography-artistic-hero.jpg,david-josue-portrait-gallery-06.jpg,600x600,1:1,"Portrait gallery showcase 6","Galería de retratos muestra 6",Low,WebP + JPG,"Gallery grid image"
Portfolio Page,Dynamic Gallery Covers,Varies per gallery,david-josue-[event-type]-[location]-portfolio-cover.jpg,500x300,5:3,"[Event type] photography portfolio by David Josué","Portafolio de fotografía de [tipo de evento] por David Josué",Medium,WebP + JPG,"Each gallery needs a cover image"
Destinations Page,Destination Thumbnails,From destinations.json,david-josue-wedding-destination-[location-name].jpg,400x400,1:1,"Wedding destination: [Location Name]","Destino de bodas: [Nombre del Lugar]",Low,WebP + JPG,"Square thumbnails for each destination"
Global,Logo White,/logos/logo_blanco.png,david-josue-photography-logo-white.svg,300xAuto,Original,"David Josué Photography logo","Logo de David Josué Photography",High,SVG,"Convert to SVG for scalability"
Global,Logo Gray,/logos/logo_gris.png,david-josue-photography-logo-gray.svg,300xAuto,Original,"David Josué Photography logo","Logo de David Josué Photography",High,SVG,"Convert to SVG for scalability"
Global,Logo Black,/logos/logo_negro.png,david-josue-photography-logo-black.svg,300xAuto,Original,"David Josué Photography logo","Logo de David Josué Photography",High,SVG,"Convert to SVG for scalability"
Global,Favicon,/favicon.ico,david-josue-favicon-set,Multiple sizes,1:1,"David Josué Photography","David Josué Photography",High,ICO/PNG,"16x16, 32x32, 192x192, 512x512"
SEO/Social,Homepage OG Image,Create new,david-josue-homepage-og-image.jpg,1200x630,1.91:1,"David Josué - International Wedding & Boudoir Photographer","David Josué - Fotógrafo Internacional de Bodas y Boudoir",High,JPG,"Open Graph image for social sharing"
SEO/Social,About OG Image,Create new,david-josue-about-og-image.jpg,1200x630,1.91:1,"About David Josué - Visual Storyteller","Acerca de David Josué - Narrador Visual",Medium,JPG,"Open Graph image for social sharing"
SEO/Social,Boudoir OG Image,Create new,david-josue-boudoir-og-image.jpg,1200x630,1.91:1,"Boudoir Photography - Celebrate Your Power","Fotografía Boudoir - Celebra Tu Poder",Medium,JPG,"Open Graph image for social sharing"
SEO/Social,Portraits OG Image,Create new,david-josue-portraits-og-image.jpg,1200x630,1.91:1,"Portrait Photography - Capture Your Essence","Fotografía de Retrato - Captura Tu Esencia",Medium,JPG,"Open Graph image for social sharing"
SEO/Social,Portfolio OG Image,Create new,david-josue-portfolio-og-image.jpg,1200x630,1.91:1,"Photography Portfolio - David Josué","Portafolio Fotográfico - David Josué",Medium,JPG,"Open Graph image for social sharing"
